"","S","MLS #","Street Address","Price","DOM","Beds Total","Bths","Sq Ft Total","Lot Size","Postal City","Property Sub Type","Age"
"1","A","ML81577580","1057 Huntingdon Drive","$1,288,000","7","3","2|0","1,673","5,994 SqFt","San Jose","Res. Single Family","58"
"1","A","ML81564768","1594 Laurelwood Crossing Place","$1,285,000","27","4","2|1","2,350","6,534 SqFt","San Jose","Res. Single Family","12"
"1","A","ML81577662","3615 Groesbeck Hill Drive","$1,285,000","7","4","3|0","2,880","8,000 SqFt","San Jose","Res. Single Family","29"
"1","S","ML81520815","2748 Valley Oak Court","$1,280,000","9","5","3|1","3,161","4,981 SqFt","San Jose","Res. Single Family","0"
"1","S","ML81519072","1529 Torre Court","$1,280,000","12","4","2|0","1,874","8,874 SqFt","San Jose","Res. Single Family","36"
"1","S","ML81522212","3207 Lakemore Court","$1,280,000","9","4","2|1","2,192","6,396 SqFt","San Jose","Res. Single Family","19"
"1","S","ML81533846","2298 RIORDAN Drive","$1,280,000","10","4","2|0","1,354","6,300 SqFt","San Jose","Res. Single Family","52"
"1","S","ML81547310","1924 Cronwell Drive","$1,280,000","23","3","2|1","1,887","7,446 SqFt","San Jose","Res. Single Family","56"
"1","S","ML81548363","957 Trifone Drive","$1,280,000","17","3","2|1","1,992","7,148 SqFt","San Jose","Res. Single Family","56"
"1","A","ML81563372","3761 Chenlan Court","$1,280,000","35","3","2|1","2,710","9,060 SqFt","San Jose","Res. Single Family","18"
"1","S","ML81534503","21950 Fortini Road","$1,278,000","17","3","2|1","1,988","42,758 SqFt","San Jose","Res. Single Family","65"
"1","P","ML81563166","1540 Larkspur Drive","$1,278,000","9","4","2|0","1,635","10,285 SqFt","San Jose","Res. Single Family","58"
"1","S","ML81518775","13941 Observatory Drive","$1,275,000","24","5","4|0","3,498","1.50 Acres","San Jose","Res. Single Family","25"
"1","S","ML81521239","7072 Anjou Creek Circle","$1,275,000","30","4","2|1","2,574","7,272 SqFt","San Jose","Res. Single Family","41"
"1","S","ML81548725","1414 Brookdale Drive","$1,275,000","8","3","2|1","1,834","8,189 SqFt","San Jose","Res. Single Family","61"
"1","P","ML81561229","6548 Springpath Lane","$1,275,000","30","4","2|0","1,986","7,875 SqFt","San Jose","Res. Single Family","38"
"1","P","ML81564088","1448 Stanton Way","$1,275,000","11","4","3|0","2,234","4,347 SqFt","San Jose","Res. Single Family","23"
"1","S","ML81534661","1744 Valpico Drive","$1,272,500","8","3","2|1","2,029","6,848 SqFt","San Jose","Res. Single Family","54"
"1","S","ML81548693","6418 McAbee Road","$1,272,000","7","4","2|0","2,332","8,050 SqFt","San Jose","Res. Single Family","50"
"1","S","ML81518575","1225 Koch Lane","$1,270,000","9","3","2|0","2,162","9,675 SqFt","San Jose","Res. Single Family","64"
"1","S","ML81517206","1530 Cowper Court","$1,270,000","1","3","2|0","1,904","13,486 SqFt","San Jose","Res. Single Family","35"
"1","S","ML81533151","3896 Mars Court","$1,270,000","11","4","3|0","2,552","16,072 SqFt","San Jose","Res. Single Family","16"
"1","S","ML81533157","1097 Phelps Avenue","$1,270,000","20","5","3|0","2,199","6,493 SqFt","San Jose","Res. Single Family","53"
"1","S","ML81561557","1520 Bird Avenue","$1,270,000","3","4","2|1","2,160","6,650 SqFt","San Jose","Res. Single Family","47"
"1","S","ML81561582","1636 Wheatley Place","$1,268,000","5","4","3|0","2,417","6,710 SqFt","San Jose","Res. Single Family","15"
"1","S","ML81547251","628 Galen Drive","$1,262,800","7","5","3|0","2,576","8,118 SqFt","San Jose","Res. Single Family","48"
"1","S","ML81545218","6067 Knoll Park Court","$1,255,000","7","4","2|1","2,014","8,395 SqFt","San Jose","Res. Single Family","42"
"1","S","ML81563154","1670 Cherry Grove Drive","$1,255,000","8","3","3|0","2,343","7,350 SqFt","San Jose","Res. Single Family","59"
