prop type, address #, address st, city, state, zip, dom, listing_id, beds, baths, sqfootage, lotsize, yearbuilt, latitude, longitude, redfin link, chartlink, homelink, graphlink, maplink, compslink, zpid, zestimate, lastupdated, rentestimate, lastupdated_rent, distance, # hot words, sold price, sold date, comp score, $/sqft
prop type, address #, address st, city, state, zip, dom, listing_id, beds, baths, sqfootage, lotsize, yearbuilt, latitude, longitude, redfin link, chartlink, homelink, graphlink, maplink, compslink, zpid, zestimate, lastupdated, rentestimate, lastupdated_rent, distance, # hot words, sold price, sold date, comp score, $/sqft
redfin,1430,71ST Ave,Oakland,CA,94621-3102,162,40719792,3,2.0,1020,4200,1949,37.760479,-122.188176,http://www.redfin.com/CA/Oakland/1430-71st-Ave-94621/home/1801065,,http://www.zillow.com/homedetails/1430-71st-Ave-Oakland-CA-94621/24791093_zpid/,http://www.zillow.com/homedetails/1430-71st-Ave-Oakland-CA-94621/24791093_zpid/#charts-and-data,http://www.zillow.com/homes/24791093_zpid/,http://www.zillow.com/homes/comps/24791093_zpid/,24791093,259680,04/01/2016,2100,04/05/2016,0,3
redfin,1061,85th Ave,Oakland,CA,94621,0,,3,1.0,1120,4200,1950,37.751014,-122.182674,,,http://www.zillow.com/homedetails/1061-85th-Ave-Oakland-CA-94621/24797155_zpid/,http://www.zillow.com/homedetails/1061-85th-Ave-Oakland-CA-94621/24797155_zpid/#charts-and-data,http://www.zillow.com/homes/24797155_zpid/,http://www.zillow.com/homes/comps/24797155_zpid/,24797155,246893,04/01/2016,,,0.719727694029,0,227000,06/25/2015,6.0,202
redfin,1106,75th Ave,Oakland,CA,94621,0,,2,1.0,892,3800,1920,37.755828,-122.189271,,,http://www.zillow.com/homedetails/1106-75th-Ave-Oakland-CA-94621/24796054_zpid/,http://www.zillow.com/homedetails/1106-75th-Ave-Oakland-CA-94621/24796054_zpid/#charts-and-data,http://www.zillow.com/homes/24796054_zpid/,http://www.zillow.com/homes/comps/24796054_zpid/,24796054,254824,04/01/2016,,,0.326871807472,0,170000,01/25/2016,9.0,190
redfin,2525,64th Ave,Oakland,CA,94605,0,,2,1.0,1188,3800,1926,37.768818,-122.187296,,,http://www.zillow.com/homedetails/2525-64th-Ave-Oakland-CA-94605/24788233_zpid/,http://www.zillow.com/homedetails/2525-64th-Ave-Oakland-CA-94605/24788233_zpid/#charts-and-data,http://www.zillow.com/homes/24788233_zpid/,http://www.zillow.com/homes/comps/24788233_zpid/,24788233,282285,04/01/2016,,,0.578169566499,0,355000,07/21/2015,8.0,298
redfin,2609,63rd Ave,Oakland,CA,94605,0,,2,1.0,897,4400,1917,37.769809,-122.187439,,,http://www.zillow.com/homedetails/2609-63rd-Ave-Oakland-CA-94605/24788293_zpid/,http://www.zillow.com/homedetails/2609-63rd-Ave-Oakland-CA-94605/24788293_zpid/#charts-and-data,http://www.zillow.com/homes/24788293_zpid/,http://www.zillow.com/homes/comps/24788293_zpid/,24788293,300420,04/01/2016,,,0.645895131507,0,200000,04/10/2015,8.0,222
redfin,2568,60th Ave,Oakland,CA,94605,0,,3,1.0,1096,3057,1922,37.770828,-122.189496,,,http://www.zillow.com/homedetails/2568-60th-Ave-Oakland-CA-94605/24788356_zpid/,http://www.zillow.com/homedetails/2568-60th-Ave-Oakland-CA-94605/24788356_zpid/#charts-and-data,http://www.zillow.com/homes/24788356_zpid/,http://www.zillow.com/homes/comps/24788356_zpid/,24788356,313394,04/01/2016,,,0.718671068153,0,305000,08/27/2015,6.0,278
redfin,2520,61st Ave,Oakland,CA,94605,0,,2,1.0,1062,4400,1921,37.7697,-122.18963,,,http://www.zillow.com/homedetails/2520-61st-Ave-Oakland-CA-94605/24788432_zpid/,http://www.zillow.com/homedetails/2520-61st-Ave-Oakland-CA-94605/24788432_zpid/#charts-and-data,http://www.zillow.com/homes/24788432_zpid/,http://www.zillow.com/homes/comps/24788432_zpid/,24788432,341945,04/01/2016,,,0.642039076283,0,340000,10/15/2015,8.0,320
redfin,2514,62nd Ave,Oakland,CA,94605,0,,2,1.0,993,4400,1921,37.769051,-122.189092,,,http://www.zillow.com/homedetails/2514-62nd-Ave-Oakland-CA-94605/24788455_zpid/,http://www.zillow.com/homedetails/2514-62nd-Ave-Oakland-CA-94605/24788455_zpid/#charts-and-data,http://www.zillow.com/homes/24788455_zpid/,http://www.zillow.com/homes/comps/24788455_zpid/,24788455,330728,04/01/2016,,,0.594376340289,0,270000,02/05/2016,4.0,271
redfin,2325,62nd Ave,Oakland,CA,94605,0,,3,2.0,1114,4700,1912,37.768475,-122.191211,,,http://www.zillow.com/homedetails/2325-62nd-Ave-Oakland-CA-94605/24788481_zpid/,http://www.zillow.com/homedetails/2325-62nd-Ave-Oakland-CA-94605/24788481_zpid/#charts-and-data,http://www.zillow.com/homes/24788481_zpid/,http://www.zillow.com/homes/comps/24788481_zpid/,24788481,348191,04/01/2016,,,0.576804133952,0,330000,03/01/2016,5.0,296
